Week,Week Start,Channel,Site Visits,Started Application,Completed Basic Info,ID Verification Passed,Selected Product & Locked Rate,Selected Funding Method,Visit -> Start %,Start -> Basic Info %,Basic Info -> IDV %,IDV -> Product %,Product -> Funding Method %
1,2026-04-13,Paid Search,8236,531,432,327,232,211,0.064473045,0.813559322,0.756944444,0.709480122,0.909482759
2,2026-04-20,Paid Search,7903,501,401,297,208,186,0.063393648,0.800399202,0.740648379,0.7003367,0.894230769
3,2026-04-27,Paid Search,7993,484,399,306,214,194,0.060552984,0.824380165,0.766917293,0.699346405,0.906542056
4,2026-05-04,Paid Search,7936,488,402,303,211,189,0.061491935,0.823770492,0.753731343,0.696369637,0.895734597
5,2026-05-11,Paid Search,8151,508,407,309,221,198,0.062323641,0.801181102,0.759213759,0.715210356,0.895927602
6,2026-05-18,Paid Search,8090,490,405,306,212,188,0.060568603,0.826530612,0.755555556,0.692810458,0.886792453
7,2026-05-25,Paid Search,8161,490,399,322,211,189,0.060041662,0.814285714,0.807017544,0.655279503,0.895734597
8,2026-06-01,Paid Search,7744,499,405,359,215,195,0.064436983,0.811623246,0.886419753,0.598885794,0.906976744
9,2026-06-08,Paid Search,7872,495,402,368,209,187,0.062881098,0.812121212,0.915422886,0.567934783,0.894736842
10,2026-06-15,Paid Search,7656,473,390,389,211,188,0.061781609,0.824524313,0.997435897,0.542416452,0.890995261
11,2026-06-22,Paid Search,7714,494,406,415,215,192,0.064039409,0.821862348,1.022167488,0.518072289,0.893023256
12,2026-06-29,Paid Search,7817,495,401,436,212,190,0.063323526,0.81010101,1.087281796,0.486238532,0.896226415
1,2026-04-13,Paid Social,5044,199,160,121,84,75,0.039452815,0.804020101,0.75625,0.694214876,0.892857143
2,2026-04-20,Paid Social,5190,205,165,125,84,76,0.039499037,0.804878049,0.757575758,0.672,0.904761905
3,2026-04-27,Paid Social,5429,215,172,129,87,78,0.039602137,0.8,0.75,0.674418605,0.896551724
4,2026-05-04,Paid Social,5492,226,177,134,91,82,0.041150765,0.783185841,0.757062147,0.679104478,0.901098901
5,2026-05-11,Paid Social,6853,282,225,165,112,103,0.041149861,0.79787234,0.733333333,0.678787879,0.919642857
6,2026-05-18,Paid Social,7133,296,233,174,117,105,0.041497266,0.787162162,0.746781116,0.672413793,0.897435897
7,2026-05-25,Paid Social,5886,238,189,146,94,85,0.04043493,0.794117647,0.772486772,0.643835616,0.904255319
8,2026-06-01,Paid Social,5708,229,184,156,94,85,0.040119131,0.80349345,0.847826087,0.602564103,0.904255319
9,2026-06-08,Paid Social,6098,244,190,176,99,90,0.040013119,0.778688525,0.926315789,0.5625,0.909090909
10,2026-06-15,Paid Social,6169,259,202,194,101,91,0.041984114,0.77992278,0.96039604,0.520618557,0.900990099
11,2026-06-22,Paid Social,6146,257,204,208,106,95,0.041815815,0.793774319,1.019607843,0.509615385,0.896226415
12,2026-06-29,Paid Social,6187,261,204,213,103,92,0.042185227,0.781609195,1.044117647,0.483568075,0.893203883
1,2026-04-13,Affiliate/Comparison Sites,3591,327,276,209,152,138,0.091060986,0.844036697,0.757246377,0.727272727,0.907894737
2,2026-04-20,Affiliate/Comparison Sites,3558,319,270,208,152,139,0.089657111,0.846394984,0.77037037,0.730769231,0.914473684
3,2026-04-27,Affiliate/Comparison Sites,3603,344,282,214,151,137,0.095475992,0.819767442,0.758865248,0.705607477,0.907284768
4,2026-05-04,Affiliate/Comparison Sites,3705,332,275,213,151,138,0.089608637,0.828313253,0.774545455,0.708920188,0.913907285
5,2026-05-11,Affiliate/Comparison Sites,3985,369,306,236,172,156,0.09259724,0.829268293,0.77124183,0.728813559,0.906976744
6,2026-05-18,Affiliate/Comparison Sites,4038,382,313,236,172,156,0.094601288,0.819371728,0.75399361,0.728813559,0.906976744
7,2026-05-25,Affiliate/Comparison Sites,4831,451,378,300,202,185,0.093355413,0.838137472,0.793650794,0.673333333,0.915841584
8,2026-06-01,Affiliate/Comparison Sites,4944,447,378,319,203,184,0.090412621,0.845637584,0.843915344,0.636363636,0.906403941
9,2026-06-08,Affiliate/Comparison Sites,5024,457,374,349,207,188,0.090963376,0.818380744,0.93315508,0.593123209,0.90821256
10,2026-06-15,Affiliate/Comparison Sites,5300,490,408,412,219,200,0.09245283,0.832653061,1.009803922,0.531553398,0.913242009
11,2026-06-22,Affiliate/Comparison Sites,5259,479,396,409,215,196,0.091081955,0.826722338,1.032828283,0.525672372,0.911627907
12,2026-06-29,Affiliate/Comparison Sites,5463,491,407,454,222,199,0.089877357,0.82892057,1.115479115,0.488986784,0.896396396
1,2026-04-13,Organic/Direct,6258,436,364,277,197,176,0.069670821,0.834862385,0.760989011,0.711191336,0.893401015
2,2026-04-20,Organic/Direct,6217,429,357,270,190,173,0.069004343,0.832167832,0.756302521,0.703703704,0.910526316
3,2026-04-27,Organic/Direct,6345,456,367,278,193,175,0.071867612,0.804824561,0.757493188,0.694244604,0.906735751
4,2026-05-04,Organic/Direct,6277,461,373,275,190,171,0.073442727,0.809110629,0.737265416,0.690909091,0.9
5,2026-05-11,Organic/Direct,6362,444,365,276,191,173,0.069789374,0.822072072,0.756164384,0.692028986,0.905759162
6,2026-05-18,Organic/Direct,6151,428,351,268,190,169,0.069582182,0.820093458,0.763532764,0.708955224,0.889473684
7,2026-05-25,Organic/Direct,6257,442,359,282,186,166,0.070640882,0.812217195,0.78551532,0.659574468,0.892473118
8,2026-06-01,Organic/Direct,6318,457,376,316,193,176,0.072333017,0.822757112,0.840425532,0.610759494,0.911917098
9,2026-06-08,Organic/Direct,6275,460,378,351,198,176,0.073306773,0.82173913,0.928571429,0.564102564,0.888888889
10,2026-06-15,Organic/Direct,6372,445,371,373,200,179,0.069836786,0.833707865,1.005390836,0.536193029,0.895
11,2026-06-22,Organic/Direct,6359,442,357,372,189,171,0.069507784,0.807692308,1.042016807,0.508064516,0.904761905
12,2026-06-29,Organic/Direct,6467,446,372,408,201,183,0.068965517,0.834080717,1.096774194,0.492647059,0.910447761
1,2026-04-13,Email/CRM (Existing Members),1285,225,200,155,120,112,0.175097276,0.888888889,0.775,0.774193548,0.933333333
2,2026-04-20,Email/CRM (Existing Members),1290,242,215,166,128,117,0.187596899,0.888429752,0.772093023,0.771084337,0.9140625
3,2026-04-27,Email/CRM (Existing Members),1316,247,220,170,131,121,0.18768997,0.890688259,0.772727273,0.770588235,0.923664122
4,2026-05-04,Email/CRM (Existing Members),1329,238,212,164,122,112,0.179082017,0.890756303,0.773584906,0.743902439,0.918032787
5,2026-05-11,Email/CRM (Existing Members),1361,244,218,173,131,121,0.179279941,0.893442623,0.793577982,0.757225434,0.923664122
6,2026-05-18,Email/CRM (Existing Members),1445,261,234,183,141,129,0.180622837,0.896551724,0.782051282,0.770491803,0.914893617
7,2026-05-25,Email/CRM (Existing Members),1449,274,238,199,141,130,0.189095928,0.868613139,0.836134454,0.708542714,0.921985816
8,2026-06-01,Email/CRM (Existing Members),1474,273,239,213,141,131,0.185210312,0.875457875,0.891213389,0.661971831,0.929078014
9,2026-06-08,Email/CRM (Existing Members),1464,261,232,219,135,126,0.178278689,0.888888889,0.943965517,0.616438356,0.933333333
10,2026-06-15,Email/CRM (Existing Members),1545,287,254,255,151,139,0.185760518,0.885017422,1.003937008,0.592156863,0.920529801
11,2026-06-22,Email/CRM (Existing Members),1523,273,244,259,145,133,0.179251477,0.893772894,1.06147541,0.55984556,0.917241379
12,2026-06-29,Email/CRM (Existing Members),1574,284,248,270,147,137,0.18043202,0.873239437,1.088709677,0.544444444,0.931972789
